2.78824e-1, 1.88515e-13
2.92941e-1, 1.62233e-13
3.07941e-1, 1.64755e-13
3.24706e-1, 1.64825e-13
3.37941e-1, 1.41843e-13
3.52941e-1, 1.41896e-13
3.68824e-1, 1.46290e-13
3.82941e-1, 1.70109e-13
3.98824e-1, 1.50874e-13
4.12941e-1, 1.67695e-13
4.27941e-1, 1.50984e-13
4.43824e-1, 1.29941e-13
4.57941e-1, 1.29987e-13
4.72941e-1, 1.20610e-13
4.88824e-1, 1.03800e-13
5.02059e-1, 9.34519e-14
5.17059e-1, 8.67105e-14
5.32059e-1, 9.35223e-14
5.48824e-1, 6.23199e-14
5.62059e-1, 5.20403e-14
5.77059e-1, 2.20777e-14
5.92941e-1, 1.61017e-14
6.07941e-1, 1.17430e-14
6.22059e-1, 1.17472e-14
6.37059e-1, 1.01097e-14
6.52059e-1, 1.26748e-14
6.67059e-1, 1.30670e-14
6.82059e-1, 1.82025e-14
6.97941e-1, 1.15938e-14
7.12059e-1, 2.18217e-14
7.27059e-1, 2.02476e-14
7.41176e-1, 1.64068e-14
7.56176e-1, 1.85129e-14
7.71176e-1, 2.12061e-14
7.87059e-1, 1.90934e-14
8.00294e-1, 2.12216e-14
8.16176e-1, 1.96912e-14
8.31176e-1, 2.25558e-14
8.45294e-1, 2.00044e-14
8.61176e-1, 2.15763e-14
8.75294e-1, 2.47147e-14
8.89412e-1, 2.12691e-14
9.07059e-1, 7.20034e-15
9.21176e-1, 1.94482e-15
